,,,,,,,"  46,901 ",  659.20 ,,,"  688,810 ","  138,240 ","  72,476 ","  17,000 ",,"  916,526 ",,,,,
Bill Date,Dispatch Date,Delay,INVOICE NO,E-Waybill Number,Party Name,Town,Case, Net Weight in MT,Vehicle Number,Vehicle Type, Freight, Extra Freight, Labour, Detention,LR no.,Transport Name,Remarks,Acknwoledgement Status,,,
10/Apr/26,11/Apr/26,1,TX271030000051,342228232550,AVENUE SUPERMARTS LIMITED,PHAGWARA,56,  0.72 ,PB02BV9960,1,"  4,044 ",  456 ,  580 ,,23609,NEW SODHI,Club With LR 23607-08,RECD,,,
11/Apr/26,11/Apr/26,0,TX271030000053,372228235082,AVENUE SUPERMARTS LIMITED,AMRITSAR,15,  0.29 ,PB02BV9960,,,,,,23607,NEW SODHI,Club With LR 23608-09,RECD,,,
11/Apr/26,11/Apr/26,0,TX271030000054,352228236401,AVENUE SUPERMARTS LTD,AMRITSAR,42,  0.43 ,PB02BV9960,,,,,,23608,NEW SODHI,Club With LR 23607-09,RECD,,,
11/Apr/26,13/Apr/26,2,TX271030000052,322229254867,RELIANCE RETAIL LIMITED,SHAMBHU,700,  7.06 ,PB08BB9296,9,"  5,100 ","  1,400 ","  3,500 ","  3,000 ",23613,NEW SODHI,All Stock KGMO & 2 Days Dentions,RECD,2 DAY DETAINTIONS,3000,
11/Apr/26,16/Apr/26,5,TX271030000055,312231399517,AVENUE SUPERMARTS LTD,PATHANKOT,72,  1.01 ,PB10CZ1968,1,"  4,100 ",  400 ,  375 ,,23622,NEW SODHI,,RECD,,,
13/Apr/26,13/Apr/26,0,TX271030000056,372229253489,ARORA FLOUR & OIL MILLS,PATHANKOT,550,  6.13 ,PB10FV3689,6,"  6,700 ","  1,800 ",  -   ,,17427,NEW SODHI,,RECD,,,
13/Apr/26,15/Apr/26,2,TX271030000057,372230666395,ARORA FLOUR & OIL MILLS,PATHANKOT,666,  5.59 ,PB10FV3689,6,"  6,700 ","  1,800 ",  -   ,,17442,NEW SODHI,,RECD,,,
13/Apr/26,13/Apr/26,0,TX271030000058,322229251590,RALLA RAM DEV RAJ,DINA NAGAR,700,  8.74 ,PB10HC3852,9,"  7,700 ","  3,800 ",  -   ,,17428,NEW SODHI,,RECD,,,
13/Apr/26,14/Apr/26,1,TX271030000059,382230084529,VIJAY KUMAR SUSHIL KUMAR,GURDASPUR,240,  3.02 ,PB06G2315,6,"  5,700 ","  2,800 ",  -   ,,17438,NEW SODHI,,RECD,,,
13/Apr/26,14/Apr/26,1,TX271030000071,342230085070,VIJAY KUMAR SUSHIL KUMAR,GURDASPUR,100,  0.90 ,PB06G2315,,,,,,,NEW SODHI,,,,,
13/Apr/26,14/Apr/26,1,TX271030000072,302230084778,VIJAY KUMAR SUSHIL KUMAR,GURDASPUR,180,  2.02 ,PB06G2315,,,,,,,NEW SODHI,,,,,
13/Apr/26,15/Apr/26,2,TX271030000060,382230667742,RALLA RAM DEV RAJ,DINA NAGAR,360,  6.05 ,PB06G2315,6,"  6,100 ","  2,400 ",  -   ,,17441,NEW SODHI,,RECD,,,
13/Apr/26,13/Apr/26,0,TX271030000061,382229462781,OM TRADERS,BARNALA,216,  3.09 ,PB11BF9787,3,"  2,800 ",  -   ,  -   ,,17431,NEW SODHI,,RECD,,,
