,,,,,,,"  86,205 ","  1,200.77 ",,,"  822,384 ","  199,061 ","  105,871 ","  7,000 ",,"  1,134,315 ",,,
Bill Date,Dispatch Date,Delay,Invoice Number,E Waybill Number,Party Name,Town,Case, Net Weight in MT,Vehicle Number,Vehicle Type, Freight, Extra Freight, Labour, Detention,LR no.,Transport Name,Remarks,Acknwoledgement Status,
29/Apr/26,29/Apr/26,,8631931424,342240310821,MEHTA TRADING CO,ANANDPUR,220,  2.86 ,PB10JR5386,3,"  2,900 ","  1,600 ",  -   ,,23168,AMAN ROAD,,Pending,
30/Apr/26,30/Apr/26,,8631931458,352240688747,MANGAT RAI & SONS,DHARAMKOT,210,  3.33 ,PB05AS3153,3,"  2,700 ",  300 ,  -   ,,23169,New Sodhi,,RECD,
30/Apr/26,1/May/26,,8631931459,322240695537,MITTAL SALES CROP,JALLANDHAR,290,  2.98 ,HP836748,3,"  4,555 ","  1,245 ",  -   ,,23170,AMAN ROAD,CLUB WITH23174,Pending,
30/Apr/26,1/May/26,,8631931466,302240746561,BAJAJ OIL & BANSPATI TRADING CO,JALLANDHAR,260,  3.84 ,HP836748,4,,,,,23174,AMAN ROAD,CLUB WITH 23170,Pending,
30/Apr/26,30/Apr/26,,8631931460-61,332240703974-382240705751,MITTAL SALES CROP,JALLANDHAR,730,  9.18 ,PB07X9469,9,"  4,650 ","  1,350 ",  -   ,,23171,AMAN ROAD,,Pending,
30/Apr/26,,,8631931462-63,392240709772-352240712330,SHREE DURGA JI ENTERPRISES,LUDHIANA,375,  6.29 ,PB10JK6861,9,"  1,890 ","  1,110 ",  -   ,,23172,AMAN ROAD,,Pending,
30/Apr/26,30/Apr/26,,8631931464,372240714527,MOHIT KUMAR & CO,MOGA,185,  3.10 ,PB10FF3278,3,"  2,120 ",  880 ,  -   ,,23173,LORD KRISHNA,,Pending,
30/Apr/26,1/May/26,,8631931473,342240764325,KHUSHI RAM RAJ PAL JAIN,HOSHIARPUR,335,  4.71 ,PB10HC3852,9,  -   ,  -   ,  -   ,,23175,New Sodhi,CLUB WITH 23198,RECD,
30/Apr/26,30/Apr/26,,8631931477,392240840167,AGGARWAL ENTERPRISES,CHANDIGARH,200,  3.00 ,PB08EQ6279,3,"  3,635 ",  365 ,  -   ,,23176,New Sodhi,,Pending,
30/Apr/26,1/May/26,,8631931479,382240869284,EKAM TRADING CO,LUDHIANA,117,  1.61 ,PB10JR5386,3,"  1,200 ",  800 ,  -   ,,23182,AMAN ROAD,,Pending,
30/Apr/26,30/Apr/26,,8631931480,302240882401,PARSHOTAM SINGH SAWRAN SINGH ,PHAGWARA,535,  8.15 ,HP836748,9,"  3,077 ","  1,923 ",  -   ,,23183,AMAN ROAD,CLUB WITH 23184,Pending,
30/Apr/26,30/Apr/26,,8631931481,382240884287,SURINDER KUMAR BHARAT BHUSHAN,PHAGWARA,54,  0.54 ,HP836748,9,,,  -   ,,23184,AMAN ROAD,CLUB WITH 23183,Pending,
30/Apr/26,30/Apr/26,,8631931484,302240901847,VIJAY AGENCIES,NAKODAR,175,  2.16 ,PB08FF7158,3,"  1,400 ",  -   ,  -   ,,23186,SELF,,RECD,
30/Apr/26,,,8631931478,362240865129,MADAN KARYANA STORE,KHANNA,465,  6.45 ,PB06G2315,6,"  2,740 ","  1,260 ",  -   ,,23177,AMAN ROAD,,Pending,
30/Apr/26,1/May/26,,8631931486,352240911528,ISHWER CHAND & SONS,NIHAL-SINGH-WALA,600,  10.05 ,PB07X9469,9,"  5,945 ","  1,190 ",  -   ,,23188,AMAN ROAD,,Pending,
30/Apr/26,30-04-26,,8631931485,302240904411,CHAUDHRIAN DI HATTI,KHAMANO,200,  3.00 ,PB10JR5386,3,"  2,050 ",  750 ,  -   ,,23187,AMAN ROAD,,Pending,
30/Apr/26,,,8631931489,312240922078,METRO CASH & CARRY,ZIRAKPUR,950,  12.35 ,PB11BK2989,12,"  8,800 ",  -   ,"  2,375 ","  1,000 ",23189,NICE TRANSPORT,Holtage 1 Day,Pending,
30/Apr/26,1/May/26,,8631931490,332240923796,S.R.N TRADERS,LUDHIANA,200,  3.00 ,PB10FF1166,3,"  1,200 ",  300 ,  -   ,,23190,AMAN ROAD,,Pending,
30/Apr/26,30/Apr/26,,8631931496-98,372240953980-302240955084,SHIV SHAKTI ENTERPRISES,RAJPURA,625,  8.09 ,PB11BN5672,9,"  5,415 ",  -   ,  -   ,,23191,NICE TRANSPORT,,Pending,
30/Apr/26,1/May/26,,8631931487,332240944065,TARA CHAND SUSHIL KUMAR,CHANDIGARH,800,  10.40 ,CH01TB7517,10,"  6,604 ","  3,396 ",  -   ,,23179,New Sodhi,,Pending,
30/Apr/26,1/May/26,,8631931499,382240979905,AADHAAR RETAILING LTD,LUDHIANA,200,  3.36 ,PB10JP8564,3,"  1,344 ",  656 ,  400 ,,23192,New Sodhi,,Pending,
30/Apr/26,2/May/26,,8631931488,352240988593,TARA CHAND SUSHIL KUMAR,CHANDIGARH,800,  10.40 ,PB65BJ0199,10,"  6,604 ","  3,396 ",  -   ,,23180,New Sodhi,,Pending,
30/Apr/26,1/May/26,,8631931509,302241022163,AMIT ENTERPRISES,KOTKAPURA,620,  9.54 ,PB08BB9296,9,"  9,500 ",  -   ,  -   ,,23185,New Sodhi,,Pending,
30/Apr/26,01-05-26,,8631931507-10-11-13-16-18,332241021268-342241022727-332241023743-372241026447-322241033145-312241035630,AADHAAR RETAILING LTD,LUDHIANA,617,  8.15 ,PB08BB9296,9,"  2,445 ","  1,355 ","  1,234 ",,23193,New Sodhi,,Pending,
30/Apr/26,,,8631931529,372241085860,NARESH TRADERS,NAKODAR,885,  13.21 ,PB11CN8710,13,"  6,530 ",  970 ,  -   ,,23194,New Sodhi,,Pending,
30/Apr/26,,,8631931528,382241125664,TARA CHAND SUSHIL KUMAR,CHANDIGARH,800,  10.40 ,CH01TC4157,10,"  6,604 ","  3,396 ",  -   ,,23181,LORD KRISHNA,,Pending,
30/Apr/26,1/May/26,,8631931552,362241146065,KRISHNA TRADERS,LUDHIANA,400,  6.72 ,PB10JK6861,7,"  2,016 ","  1,284 ",  -   ,,23195,AMAN ROAD,,Pending,
30/Apr/26,,,8631931563,392241207329,MITTAL SALES CROP,JALLANDHAR,1200,  16.80 ,PB02DU8933,20,"  8,300 ", -,  -   ,,23196,SELF,,Pending,
